Tаблица 1
№;Описание сценария;Ожидаемый результат;Оценка трудозатрат;;;;;;;;;;;;;;;;;;;;;;;
;;;План (мин.);Факт (мин.);;Примечание: столбец «Факт (мин.)» надо будет заполнить чуть позже, при непосредственном выполнении регресса в задании 1.9. ;;;;;;;;;;;;;;;;;;;;
35;"Оформление заказа
1. ввести данные
2. выбрать способ оплаты
3. нажать кнопку ""Оформить заказ""
";покупка товара ;2;1;;;;;;;;;;;;;;;;;;;;;;
36;"Ввод имени и фамилии в блоке ""Детали заказа""
1. ввести имя и фамилию в форму ";отображение имени и фамилии клиента;2;1;;;;;;;;;;;;;;;;;;;;;;
37;"Выбор страны заказа
1. нажать на форму, из выпадающего списка выбрать страну";отображение выбраной из списка страны;2;1;;;;;;;;;;;;;;;;;;;;;;
38;"Ввод адреса доставки товара
1. ввести название улицы и номер дома 
2. ввести населенный пункт
3. ввести область
4. ввести почтовый индекс";отображение адреса доставки;2;1;;;;;;;;;;;;;;;;;;;;;;
39;"Ввод номера мобильного телефона
1. ввести номер телефона";отображение мобильного номера телефона;2;1;;;;;;;;;;;;;;;;;;;;;;
40;"Ввод электронной почты
1. автоматическое подставление эл. почты с личного кабинета клиента/ ввод другой эл. почты вручную";отображение электронной почты;2;1;;;;;;;;;;;;;;;;;;;;;;
41;"Выбор способа оплаты товара
1. с помощью кнопки ""radio button"" нажать на приемлемый вариант  ";кнопка ативна, способ выбран ;2;1;;;;;;;;;;;;;;;;;;;;;;
42;"Ввод купона на скидку
1. ввести купон в форму 
нажать кнопку ""Применить купон""";купон активирован, сумма заказа поменялась ;2;1;;;;;;;;;;;;;;;;;;;;;;
43;"Ввод комментария к заказу
1. ввести текст в форму для комментария в блоке ""Дополнительная информация""";отображение комментария к заказу;2;1;;;;;;;;;;;;;;;;;;;;;;
44;"Определение получения заказа продавцом 
1. нажать кнопку ""Оформить заказ""
";сформировано автоматическое уведомление о получении заказа продавцом с деталями заказа и адресом отправки ;2;1;;;;;;;;;;;;;;;;;;;;;;
45;"Отслеживание заказа
1. зайти в личный кабинет
2. нажать на вкладку ""Заказы""
3. Нажать на заказ или кнопку ""Подробнее""";отображение статуса заказа и его детали;2;1;;;;;;;;;;;;;;;;;;;;;;
46;"Оформление бонусной карты и получение скидки
1.нажать на вкладку ""Бонусная программа"" в блоке ""Страницы сайта"" ";переход на страницу получения бонусной карты;2;1;;;;;;;;;;;;;;;;;;;;;;
47;"Получение скидки
1. перейти на страницу ""Бонусная программа""
2. ввести имя
3. ввести номер телефона
4. нажать кнопку ""Оформить карту""";сформировано автоматическое уведомление об оформлении карты;2;1;;;;;;;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма: ;94;47;;;;;;;;;;;;;;;;;;;;;;
